author,exclusive,ingredients,master,num_tried,picture,rating,title
黄花,True,"高粉,低粉,砂糖,酵母,盐,水,黄油,黑胡椒,海盐,面包糠,番茄酱,苹果",True,229,True,8.7,芝士牛肉苹果迷你汉堡
想去小樽的琴琴呀,False,"牛肉,蒜,姜丝,香菜,小米辣,淀粉,生抽,香油",False,220,True,8.2,小炒牛肉（小白也可以做的超好吃！！）
云朵朵,False,"牛肉,大葱,盐,料酒,姜",False,225,False,8.0,葱爆牛肉
厦门媳妇山城妹,False,"牛里脊,泡椒,食用油,白糖,生抽,葱花",False,222,False,7.5,泡椒牛肉
超忙闲人,True,"牛肉,胡萝卜,洋葱,香菜,姜,面粉",False,222,True,8.5,胡萝卜牛肉香菜饺子
橙橙^^,False,"肥牛,洋葱,生抽,白糖,料酒,水,姜末",False,219,False,8.1,吉野家招牌牛肉饭
苏苏爱美食,False,,False,219,True,8.1,详解最好吃的外焦里嫩牛肉锅贴
子瑜妈妈,False,"老抽,姜,桂皮,八角,花椒,葱段,冰糖",True,217,True,8.8,牛气冲天之酱牛肉
Justin_leung,False,"牛肉,苦瓜,蒜",False,205,False,7.1,耗油苦瓜炒牛肉
千寻树,False,"牛肉,蛋清,姜汁,老抽,糖,盐,水淀粉",True,201,True,8.9,牛肉嫩滑不柴不硬的家常处理方法 30年经验大师小秘方
jue,True,"洋葱,鸡蛋,米饭",True,210,False,8.1,牛丼温泉卵入り（日式温泉蛋牛肉饭）
伊斯特艾格,False,"牛肉,姜,味醂,清酒,白糖,盐,米醋",True,270,True,8.3,日式牛肉盖饭
0夏天0,True,"香菜,白醋,陈醋,辣椒粉,芝麻酱,油,生抽,盐,水",True,268,True,8.4,酸牛肉--下饭神菜
莫言catlam,False,"牛肉,凉瓜,油,盐,生粉,蒜,糖,料酒",False,267,False,8.1,经典粤菜凉瓜牛肉
L-in,True,"番茄酱,老抽",True,265,True,7.9,秘制铁板黑椒牛肉粒
治愈厨房_wp,False,"鸡精,青椒,料酒,淀粉,耗油,豆瓣酱,蒜,酱油,老抽",False,263,True,7.0,青椒炒牛肉
橙宝小虎,True,"大葱,生姜,大蒜,花椒,茴香,干辣椒,草果,香叶,老抽,生抽,料酒,耗油,桂皮",False,262,True,8.5,常德牛肉粉
食尚小米,False,"牛腱肉,西红柿,洋葱,香菜,红葡萄酒,黑胡椒碎,生抽,盐,黄油",False,260,True,8.1,西红柿炖牛肉
堂妈小厨,False,"花椒,植物油,胡萝卜,食盐,鸡精,香油,生抽,老抽,香菇,面粉,鸡蛋",True,260,True,8.6,牛肉胡萝卜水饺
是_煩,True,,True,257,True,8.9,自制串串香（牛肉串，鸡肉串，猪肉串）
