author,exclusive,ingredients,master,num_tried,picture,rating,title
臻妈美食厨房,False,"蕃茄,鸡蛋,盐,胡椒粉,蕃茄酱,干生粉",False,171,True,7.6,蕃茄鸡蛋炒虾仁
Serena很宅,True,"芦笋,虾仁,小番茄,水,橄榄油",False,169,True,8.2,【减脂小厨房】芦笋虾仁藜麦沙拉
舞之灵,False,"鸡蛋,葱,姜末",False,168,True,7.8,虾仁木耳滑蛋
微笑爱心,False,"鸡蛋,虾仁,香油,生抽,小葱,盐,白胡椒粉",True,168,True,8.1,丝滑如镜的～虾仁蒸蛋
小美的美食,True,"虾仁,洋葱,姜片,黑胡椒,葱,油,盐",False,168,True,7.6,洋葱炒虾仁
梅子,False,"牛油果,虾仁,白醋,柠檬汁,芥末",False,165,False,7.7,虾仁牛油果沙拉
细嗅蔷薇natalie,False,"意大利面,牛油果,罗勒,蒜瓣,橄榄油,柠檬汁,大虾,圣女果",True,166,True,6.9,牛油果青酱虾仁意面
胖球闪电猴,True,"虾仁,芒果,盐,水淀粉,油",True,161,True,8.0,夏日清新快手菜——芒果炒虾仁
半糖小熊,False,,False,157,True,7.3,茄汁大虾仁🍤
美妈,False,"牛油果,南瓜,黑胡椒粉,蛋黄酱,盐",True,159,True,7.8,牛油果焗虾仁
张小贼,True,"腰果,虾仁,西兰花,油,盐,清水,生粉,生抽,蚝油,黑胡椒",True,158,False,8.1,腰果虾仁炒西兰花
親親鱼,True,"虾仁,味精,食盐,生粉,淀粉,鸡蛋清",False,154,True,8.6,炸虾仁
堂妈小厨,False,,True,149,True,8.6,堂妈教你做虾仁炒面
坠入海的星,False,"虾仁,玉米,香菇,姜末,葱末,鸡蛋,盐,鸡精,糖,生抽,麻油,胡椒粉,面粉",True,148,True,8.0,香菇玉米虾仁猪肉饺子
肉妞采蘑菇,False,"鸡蛋,虾仁,葱花,盐,味精",False,156,True,7.1,鸡蛋炒虾仁
summer的家,False,"冬瓜,虾米,香菜,油,清水",False,607,False,7.3,虾米烧冬瓜
虎妈尚菜,False,"海米,冬瓜,盐,料酒,白糖",False,405,False,7.7,海米冬瓜
ving,False,"海米,油菜,葱,姜,蒜,淀粉",False,364,False,8.0,海米油菜
地瓜的味道生活,False,"冬瓜,海米,生姜,水芡粉,葱花,白胡椒粉,盐,味精",True,282,False,8.0,海米炒冬瓜
心情随想,False,"冬瓜,虾米,香葱",False,216,True,7.4,虾米冬瓜
凉公子,True,,True,209,True,7.8,虾米辣椒蒸豆腐
堂妈小厨,False,,True,173,True,8.7,大头哥的海米炒生菜
apple爱自己,False,"卷心菜,虾米,盐",False,161,False,7.4,清炒虾米卷心菜
NZmom,False,"海带,虾米,豆腐,姜,香葱,盐,鸡精",True,159,True,7.7,虾米海带豆腐汤
